"","H_mid_cvrg","H_up_cvrg","H_low_cvrg","min_id_wide","min_id_wide_sd","min_id_mid_cvrg","min_id_up_cvrg","min_id_low_cvrg","max_id_wide","max_id_wide_sd","max_id_mid_cvrg","max_id_up_cvrg","max_id_low_cvrg","avg_wide","avg_wide_sd","avg_mid_cvrg","avg_up_cvrg","avg_low_cvrg"
"PEBBLE",0.876,0.891,0.891,0.862,0.082,0.906,0.897,0.905,1.213,0.223,0.918,0.908,0.915,1.014,0.218,0.903,0.896,0.906
"Normal",0.91,0.918,0.905,0.778,0.047,0.904,0.902,0.91,1.029,0.131,0.91,0.936,0.879,0.89,0.141,0.902,0.912,0.894
"Moulton",0.918,0.924,0.902,0.768,0.074,0.9,0.896,0.904,1.017,0.147,0.899,0.93,0.874,0.88,0.153,0.893,0.904,0.892
"Claeskens 1",0.918,0.924,0.905,0.778,0.066,0.902,0.9,0.917,1.014,0.149,0.897,0.935,0.87,0.884,0.15,0.895,0.91,0.893
"Claeskens 2",0.895,0.938,0.867,0.748,0.061,0.89,0.889,0.913,0.932,0.14,0.868,0.924,0.842,0.825,0.131,0.871,0.893,0.877
