"","H_mid_cvrg","H_up_cvrg","H_low_cvrg","min_id_wide","min_id_wide_sd","min_id_mid_cvrg","min_id_up_cvrg","min_id_low_cvrg","max_id_wide","max_id_wide_sd","max_id_mid_cvrg","max_id_up_cvrg","max_id_low_cvrg","avg_wide","avg_wide_sd","avg_mid_cvrg","avg_up_cvrg","avg_low_cvrg"
"PEBBLE",0.909,0.895,0.931,1.773,0.359,0.91,0.88,0.917,2.787,0.805,0.907,0.929,0.868,2.077,0.731,0.906,0.908,0.902
"Normal",0.867,0.924,0.857,1.232,0.122,0.874,0.883,0.871,1.677,0.281,0.903,0.882,0.937,1.34,0.275,0.871,0.877,0.887
"Moulton",0.893,0.936,0.849,1.217,0.178,0.854,0.878,0.87,1.655,0.292,0.884,0.869,0.914,1.325,0.295,0.848,0.866,0.874
"Claeskens 1",0.927,0.903,0.933,1.288,0.199,0.797,0.848,0.831,1.656,0.345,0.832,0.845,0.872,1.369,0.311,0.791,0.837,0.846
"Claeskens 2",0.928,0.882,0.953,1.369,0.217,0.819,0.865,0.838,1.836,0.391,0.863,0.857,0.902,1.444,0.36,0.807,0.848,0.854
