"","H_mid_cvrg","H_up_cvrg","H_low_cvrg","min_id_wide","min_id_wide_sd","min_id_mid_cvrg","min_id_up_cvrg","min_id_low_cvrg","max_id_wide","max_id_wide_sd","max_id_mid_cvrg","max_id_up_cvrg","max_id_low_cvrg","avg_wide","avg_wide_sd","avg_mid_cvrg","avg_up_cvrg","avg_low_cvrg"
"PEBBLE",0.9,0.88,0.909,2.923,0.898,0.901,0.877,0.936,3.865,1.524,0.909,0.936,0.879,2.71,1.281,0.902,0.897,0.91
"Normal",0.904,0.869,0.931,2.135,0.325,0.926,0.952,0.902,2.619,0.619,0.951,0.906,0.985,2.032,0.568,0.939,0.926,0.926
"Moulton",0.944,0.916,0.928,1.987,0.324,0.899,0.933,0.86,2.416,0.478,0.938,0.899,0.949,1.884,0.498,0.906,0.906,0.894
"Claeskens 1",0.937,0.88,0.958,2.204,0.431,0.928,0.943,0.92,2.438,0.513,0.937,0.908,0.952,2.033,0.517,0.928,0.926,0.919
"Claeskens 2",0.94,0.887,0.954,2.105,0.4,0.924,0.931,0.915,2.396,0.563,0.926,0.891,0.954,1.989,0.51,0.924,0.923,0.912
