"","H_mid_cvrg","H_up_cvrg","H_low_cvrg","min_id_wide","min_id_wide_sd","min_id_mid_cvrg","min_id_up_cvrg","min_id_low_cvrg","max_id_wide","max_id_wide_sd","max_id_mid_cvrg","max_id_up_cvrg","max_id_low_cvrg","avg_wide","avg_wide_sd","avg_mid_cvrg","avg_up_cvrg","avg_low_cvrg"
"PEBBLE",0.874,0.895,0.872,1.075,0.116,0.898,0.89,0.908,1.535,0.286,0.912,0.922,0.893,1.114,0.311,0.9,0.9,0.905
"Normal",0.901,0.891,0.919,0.891,0.052,0.917,0.902,0.917,1.175,0.141,0.91,0.918,0.893,0.923,0.177,0.906,0.905,0.902
"Moulton",0.903,0.901,0.899,0.875,0.106,0.908,0.891,0.915,1.151,0.174,0.891,0.916,0.876,0.905,0.195,0.892,0.896,0.89
"Claeskens 1",0.906,0.887,0.905,0.892,0.083,0.911,0.897,0.914,1.164,0.161,0.901,0.925,0.88,0.923,0.185,0.9,0.905,0.898
"Claeskens 2",0.91,0.869,0.926,0.928,0.088,0.924,0.905,0.923,1.233,0.171,0.921,0.93,0.892,0.968,0.2,0.917,0.912,0.907
