"","H_mid_cvrg","H_up_cvrg","H_low_cvrg","min_id_wide","min_id_wide_sd","min_id_mid_cvrg","min_id_up_cvrg","min_id_low_cvrg","max_id_wide","max_id_wide_sd","max_id_mid_cvrg","max_id_up_cvrg","max_id_low_cvrg","avg_wide","avg_wide_sd","avg_mid_cvrg","avg_up_cvrg","avg_low_cvrg"
"PEBBLE",0.881,0.891,0.88,1.19,0.171,0.877,0.878,0.896,1.686,0.421,0.896,0.912,0.891,1.346,0.378,0.887,0.894,0.894
"Normal",0.918,0.903,0.926,1.081,0.091,0.912,0.909,0.904,1.402,0.229,0.918,0.911,0.901,1.183,0.223,0.913,0.903,0.903
"Moulton",0.917,0.908,0.905,1.075,0.124,0.901,0.907,0.901,1.392,0.249,0.912,0.916,0.891,1.176,0.239,0.901,0.902,0.898
"Claeskens 1",0.912,0.904,0.906,1.088,0.138,0.897,0.9,0.899,1.392,0.267,0.896,0.915,0.877,1.183,0.246,0.897,0.9,0.894
"Claeskens 2",0.914,0.908,0.899,1.075,0.14,0.897,0.889,0.9,1.333,0.261,0.88,0.907,0.873,1.166,0.228,0.894,0.895,0.895
